fips,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,RepublicanMargin,RepublicanVoteShare,DemocratVoteShare,UnemploymentRate,PovertyRate,MedianIncome,PerCapitaIncome,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,Rent,correlation,n_years,state_fips
20163,0.0,,0.0,,73.25,85.42,12.16,3.03,10.62,52868.33,45989.33,22.9,95.41,1.53,2.59,4996.83,,,4.0,20
20165,0.0,,0.0,,63.32,80.21,16.89,2.85,12.88,52238.5,56504.5,21.38,93.07,0.33,4.03,2973.0,,,5.0,20
20167,0.0,,,,64.17,80.52,16.35,2.82,13.83,50127.83,51451.33,22.42,92.28,1.49,3.83,6828.67,,,4.0,20
20169,10.67,,14.33,,31.75,63.62,31.87,3.23,11.77,57737.17,53899.33,27.5,87.37,2.94,11.63,54460.0,986.46,-1.0,3.0,20
20171,0.0,,0.0,,73.23,85.27,12.04,1.93,7.6,67668.0,60316.17,23.1,89.88,0.0,19.07,5029.67,,,4.0,20
20173,164.0,31.37,104.67,20.08,14.04,54.91,40.87,4.45,13.67,61479.83,55606.0,31.3,75.44,8.44,14.99,517787.0,931.81,-0.88,6.0,20
20175,0.0,,,,29.51,63.36,33.85,3.07,13.77,58790.67,42699.0,11.21,53.27,3.75,62.49,22175.0,,,,20
20177,44.67,25.18,39.17,22.08,-1.11,47.36,48.48,3.53,12.5,58457.67,51788.33,31.48,80.24,8.23,12.75,178288.67,936.03,-0.81,6.0,20
20179,0.0,,0.0,,78.32,88.19,9.86,2.1,11.2,58403.33,55649.5,23.1,94.87,0.51,5.49,2481.0,,,6.0,20
20181,0.0,,0.0,,68.02,82.13,14.11,2.68,13.2,53593.83,50279.33,22.71,89.15,1.48,12.38,5942.17,,,5.0,20
20183,0.0,,0.0,,66.95,82.32,15.37,2.23,11.57,49058.83,56105.0,21.68,95.91,0.39,2.44,3599.0,,,3.0,20
20185,0.0,,0.0,,63.07,80.11,17.05,2.65,12.88,53202.5,50794.17,25.93,92.83,0.3,13.34,4122.33,,,5.0,20
